#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                  random_numbers|  1.06e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.31352893|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.23009453|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.05951283|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.94893624|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.69286607|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.50989303|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.61373358|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.31626511|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.24515618|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.81705599|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.92996627|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.42135171|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.99999999|  FAILED  
     rgb_kstest_test|   0|     10000|    1000|0.96051539|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.92258065|  PASSED  
             dab_dct| 256|     50000|       1|0.96841398|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.48821952|  PASSED  
        dab_filltree|  32|  15000000|       1|0.99870288|   WEAK   
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.09369833|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.09960879|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.88963379|  PASSED  
